Mesh ID,Generic name,Common name,Synonyms,Tree
D000073,Acenaphthenes,Acenaphthenes,Acenaphthenes,D04.615.638.059|D02.455.426.559.847.638.059
D000925,Acenocoumarol,Acenocoumarol,Mini-Sintrom|Nicoumalone|Sintrom|Syncoumar|MiniSintrom|Syncumar|Acenocoumarin|Sinkumar|Mini Sintrom|Sinthrome|Acenocoumarol|Synthrom,D03.633.100.150.446.520.079|D03.383.663.283.446.520.079
D018492,Acepromazine,Acepromazine,"Calmivet|Plegicil|Acetazine|Acepromazine|Vetranquil|Maleate, Acepromazine|Acetylpromazine|Acepromazine Maleate|Acetopromazine",D02.886.369.029|D03.633.300.783.029
D058633,Acetaminophen,Acetaminophen,Acetaminophen|Anacin-3|Datril|Hydroxyacetanilide|p-Hydroxyacetanilide|N-Acetyl-p-aminophenol|APAP|p-Acetamidophenol|Anacin3|Tylenol|Panadol|Anacin 3|Paracetamol|Acetominophen|N-(4-Hydroxyphenyl)acetanilide|Algotropyl|Acetamidophenol|Acamol|Acetaco|Acephen,D02.065.199.092.040|D02.092.146.113.092.040
D044482,Acetanilides,Acetanilides,Acetylanilines|Acetanilides|N-Phenylacetamides,D02.092.146.113.092|D02.065.199.092
D000084,Acetate Kinase,Acetate Kinase,"Acetokinase|Acetate Kinase|Kinase, Acetate",D08.811.913.696.630.025
D004232,Acetazolamide,Acetazolamide,"Acetazolam|Huma Zolamide|Diacarb|Ak Zol|Glaupax|Ak-Zol|AkZol|HumaZolamide|Edemox|Diuramide|Huma-Zolamide|Défiltran|Glauconox|Apo-Acetazolamide|Acetazolamide Sodium, (Sterile)|ApoAcetazolamide|Acetazolamide, Monosodium Salt|Acetadiazol|Apo Acetazolamide|Diamox|Acetazolamide",D03.383.129.708.867.060|D02.886.675.867.060
D000090,Acetoacetates,Acetoacetates,Acetoacetates,D02.241.755.080|D02.522.585.175
D007004,Acetohexamide,Acetohexamide,Acetohexamide|Gamadiabet|Dimelor|Dymelor,D02.455.426.559.389.085.003|D02.886.590.795.071|D02.065.950.828.071|D02.886.590.700.090.003|D02.065.884.060.003
D000093,Acetoin,Acetoin,Acetoin|3H-2B butanone|Acetylmethylcarbinol|3-hydroxy-2-butanone,D02.522.296.100
D000094,Acetoin Dehydrogenase,Acetoin Dehydrogenase,"Dehydrogenase, Acetoin|Diacetyl Reductase ((S)-Acetoin Forming)|Reductase, Diacetyl|Diacetyl Reductase ((R)-Acetoin Forming)|Acetoin Dehydrogenase|Diacetyl Reductase",D08.811.682.047.820.200
D000095,Acetolactate Synthase,Acetolactate Synthase,"Acetoxyhydroxyacid Synthase III|Synthase, Acetohydroxy Acid|Synthetase, Acetolactate|Acetohydroxy Acid Synthase|Acid Synthetase, Acetohydroxy|Acetohydroxyacid Synthetase I|Acid Synthase, Acetohydroxy|Synthetase I, Acetohydroxyacid|Synthetase, Acetohydroxy Acid|Acetolactate Synthetase|Acetolactate Synthase|Acetohydroxy Acid Synthetase|Synthase III, Acetoxyhydroxyacid|Synthase, Acetolactate",D08.811.913.200.324|D12.776.331.049
D000477,Acetoxyacetylaminofluorene,Acetoxyacetylaminofluorene,Acetoxyacetamidofluorene|N-Acetoxy-2-acetylaminofluorene|Acetoxyfluorenylacetamide|N Acetoxy N acetyl 2 aminofluorene|N Acetoxy 2 acetylaminofluorene|N-Acetoxy-N-acetyl-2-aminofluorene|Acetoxyacetylaminofluorene,D02.065.064.150.100|D02.455.426.559.847.389.050.060|D04.615.389.050.060|D02.241.081.018.110.080.070
D003287,Acetrizoic Acid,Acetrizoic Acid,"Acid, Acetrizoic|Sodium, Acetrizoate|Acetrizoate Sodium|Visotrast 400|Acetrizoic Acid|Jodopax|Triiotrast|Salpix|Visotrast 300",D02.455.426.559.389.127.375.880.020|D02.241.223.100.400.880.020|D02.455.426.559.389.127.020.452.249|D02.241.223.100.050.300.100
D000102,Acetyl-CoA C-Acetyltransferase,Acetyl-CoA C-Acetyltransferase,"Acetyl CoA Acetyltransferase|Acetyl CoA C Acetyltransferase|CoA Thiolase, Acetoacetyl|Acetyltransferase, Acetyl-CoA|Thiolase, Acetoacetyl CoA|C-Acetyltransferase, Acetyl-CoA|Acetoacetyl CoA Thiolase|Acetyl-CoA Acetyltransferase|Acetyl Coenzyme A Acetyltransferase|Acetyl-CoA C-Acetyltransferase",D08.811.913.050.134.025
D000101,Acetyl-CoA C-Acyltransferase,Acetyl-CoA C-Acyltransferase,"Acyltransferase, Acetyl CoA|3-Ketoacyl CoA Thiolase|3-Oxoacyl-Coenzyme A Thiolase|2-Methylacetoacetyl CoA Thiolase|CoA Thiolase, 3-Ketoacyl|Acetyl-CoA C-Acyltransferase|Thiolase, 3-Oxoacyl CoA|beta Ketoacyl Thiolase|Thiolase, beta-Ketoacyl|CoA Thiolase, 3-Oxoacyl|CoA Acyltransferase, Acetyl|Acetyl Coenzyme A Acyltransferase|C-Acyltransferase, Acetyl-CoA|beta-Ketoacyl Thiolase|Thiolase, 3-Ketoacyl CoA|Thiolase, 2-Methylacetoacetyl CoA|3-Ketothiolase|Thiolase, 3-Oxoacyl-Coenzyme A|CoA Thiolase, 2-Methylacetoacetyl|beta-Ketothiolase|beta Ketothiolase|Acetyl CoA Acyltransferase|3-Oxoacyl CoA Thiolase|Acetyl CoA C Acyltransferase",D08.811.913.050.080
D000103,Acetyl-CoA Carboxylase,Acetyl-CoA Carboxylase,"Acetyl Coenzyme A Carboxylase|Acetyl CoA Carboxylase|Acetyl-CoA Carboxylase|Carboxylase, Acetyl-CoA",D08.811.464.257.050|D08.811.641.249
D000104,Acetyl-CoA Hydrolase,Acetyl-CoA Hydrolase,"Acetyl CoA Hydrolase|Acetyl-CoA Hydrolase|Acylase, Acetyl-CoA|Deacylase, Acetyl-CoA|Acetyl Coenzyme A Hydrolase|Acetyl-CoA Acylase|Acetyl CoA Deacylase|Hydrolase, Acetyl-CoA|Acetyl-CoA Deacylase|Acetyl CoA Acylase",D08.811.277.352.897.075
D000105,Acetyl Coenzyme A,Acetyl Coenzyme A,"CoA, Acetyl|Acetyl-CoA|Acetyl Coenzyme A|Acetyl CoA|Coenzyme A, Acetyl",D08.211.211.300.075|D03.633.100.759.646.138.382.300.020|D13.695.827.068.382.300.020|D13.695.667.138.382.300.020
D000106,Acetate-CoA Ligase,Acetate-CoA Ligase,"Acetothiokinase|Ligase, Acetate-CoA|Activating Enzyme, Acetyl|Acetyl CoA Synthetase|CoA Synthetase, Acetyl|Synthetase, Acetyl CoA|Acetyl Coenzyme A Synthetase|Acetate-CoA Ligase|Enzyme, Acetyl Activating|Acetate CoA Ligase|Thiokinase, Acetate|Acetate Thiokinase|Acetyl Activating Enzyme",D08.811.464.267.500.200
D018697,Acetylcarnitine,Acetylcarnitine,"Branigen|Alcar|Levocarnitine Acetyl|Acetylcarnitine|Medosan|Acetyl L Carnitine|Acetylcarnitine, (R)-Isomer|Acetyl-L-Carnitine|Carnitine, Acetyl|Acetyl Carnitine",D02.092.877.883.099.090
D018679,Acetylcholine,Acetylcholine,"Miochol|Acetylcholine L Tartrate|L-Tartrate, Acetylcholine|Cusi, Acetilcolina|Bromide, Acetylcholine|2-(Acetyloxy)-N,N,N-trimethylethanaminium|Acetylcholine Bromide|Acetylcholine|Bromoacetylcholine|Acetylcholine Picrate (1:1)|Acetylcholine L-Tartrate|Acetylcholine Hydroxide|Chloroacetylcholine|Acetylcholine Perchlorate|Iodide, Acetylcholine|Acetylcholine Iodide|Acetylcholine Chloride|Fluoride, Acetylcholine|Acetylcholine Picrate|Perchlorate, Acetylcholine|Hydroxide, Acetylcholine|Acetylcholine Sulfate (1:1)|Acetilcolina Cusi|Acetylcholine Fluoride",D02.092.211.111
D002800,Acetylcholinesterase,Acetylcholinesterase,"Hydrolase, Acetylcholine|Acetylcholine Hydrolase|Acetylthiocholinesterase|Acetylcholinesterase",D08.811.277.352.100.170.176
D016166,Acetylcysteine,Acetylcysteine,"Broncho Fips|Monosodium Salt Acetylcysteine|Acetylcystein, mentopin|N-Acetyl-L-cysteine|Exomuc|Acetylcystein Trom|M-Pectil|Acetylcysteine, (DL)-Isomer|NAC AL|Zinc, Acetylcysteine|Zambon, NAC|Acid, Mercapturic|Acetylcysteine, (D)-Isomer|Siccoral|Acetylcysteine, Monoammonium Salt|Acetylcystein AL|M Pectil|Sodium, Acetylcysteine|Mucomyst|Monoammonium Salt Acetylcysteine|Mercapturic Acid|Hustengetränk, Optipect|Frekatuss|Alveolex|N Acetyl L cysteine|Acetylcysteine, Monosodium Salt|Larylin NAC|Mucosol|Acetylcysteine Zinc|Mucosil|NAC, Bisolvon|Muciteran|Fluprowit|Dampo Mucopect|MPectil|Bromuc|Muco Sanigen|Jenacystein|BronchoFips|durabronchal|N Acetylcysteine|Airbron|Optipect Hustengetränk|Lantamed|Acetylcysteine Hydrochloride|Fabrol|Hoestil|Acetylin|Solmucol|Acemuc|Cystamucil|Acetylcystein Atid|Mucopect, Dampo|Mucosolvin|Bisolvon NAC|Sanigen, Muco|Acétylcystéine GNR|Ilube|Codotussyl|Acetylcysteine Sodium|Broncho-Fips|N-Acetylcysteine|Acetyst|acebraus|Eurespiran|Lindocetyl|Hydrochloride, Acetylcysteine|Fluimucil|Genac|Jenapharm|Acetylcystein Heumann|Broncoclar|NAC Zambon|Siran|Azubronchin|Broncholysin|mentopin Acetylcystein|Acetabs|Acetylcysteine",D02.886.030.230.259|D12.125.166.230.259
D004791,Acetyldigitoxins,Acetyldigitoxins,"alpha Acetyldigitoxin|Monoacetate, Digitoxin|Adicin|alpha-Acetyldigitoxin|Desglucolanatosides A|Acetyldigitoxin|Acedoxin|Acetyldigitoxins|Digitoxin Monoacetate",D04.210.500.155.580.130.500.336.259|D04.210.500.155.580.130.625.259|D09.408.180.261.336.259
D004791,Acetyldigoxins,Acetyldigoxins,"beta-Acetyldigoxin|alpha Acetyldigoxin|Didier, Digoxin|Digoxin Didier|ct, digox von|Longdigox|Gladixol N|Stillacor|Digotab|glycotop|von ct, digox|Kardiamed|Acetyldigoxins|Novodigal|Digostada|Desglucolanatosides C|alpha-Acetyldigoxin|digox von ct|beta Acetyldigoxin",D09.408.180.261.436.050|D04.210.500.155.580.130.500.436.050|D04.210.500.155.580.130.688.050
D000114,Acetylene,Acetylene,Ethyne|Acetylene,D02.455.326.397.259
D000115,Acetylesterase,Acetylesterase,"Acetylesterase|Esterase, Acetate|Acetate Esterase|Esterase 17|Acetylase|Esterase-17|Acid Esterase|Esterase, Acid",D08.811.277.352.100.050
D000116,Acetylgalactosamine,Acetylgalactosamine,2-Acetamido-2-Deoxy-D-Galactose|2 Acetamido 2 Deoxy D Galactose|2 Acetamido 2 Deoxygalactose|N Acetyl D Galactosamine|Acetylgalactosamine|2-Acetamido-2-Deoxygalactose|N-Acetyl-D-Galactosamine|2-Acetamido-2-D-galactopyranose|2 Acetamido 2 D galactopyranose,D09.067.342.356.050
D000117,Acetylglucosamine,Acetylglucosamine,"N-Acetylglucosamine|N-Acetyl-D-Glucosamine|N Acetyl Glucosamine|beta-N-Acetylglucosamine|2-Acetamido-2-Deoxyglucose|2 Acetamido 2 Deoxy D Glucose|N-Acetyl-beta-D-Glucosamine|2 Acetamido 2 Deoxyglucose|N Acetyl D Glucosamine|N Acetyl beta D Glucosamine|N Acetylglucosamine|Acetyl Glucosamine|Glucosamine, N-Acetyl|2-Acetamido-2-Deoxy-D-Glucose|beta N Acetylglucosamine|N-Acetyl Glucosamine|Glucosamine, Acetyl|Acetylglucosamine",D09.067.342.531.050
D000118,Acetylglucosaminidase,Acetylglucosaminidase,"NAGase|N,N-Diacetylchitobiase|N-Acetyl-beta-D-glucosaminidase|beta D Acetamido 2 Deoxyglucosidase|Acetylglucosaminidase|N Acetyl beta D glucosaminidase|Chitobiase|N,N Diacetylchitobiase|beta-D-Acetamido-2-Deoxyglucosidase|N-Ac-beta-Glucosaminidase|beta-N-Acetylglucosaminidase|N Ac beta Glucosaminidase|beta N Acetylglucosaminidase|beta D N acetylglucosaminidase|beta-D-N-acetylglucosaminidase",D08.811.277.450.483.180.500
D000276,Acetylmuramyl-Alanyl-Isoglutamine,Acetylmuramyl-Alanyl-Isoglutamine,"Muramyl Dipeptide|N Acetylmuramyl L Alanyl D Isoglutamine|N-Acetylmuramyl-L-Alanyl-D-Isoglutamine|Acetylmuramyl Alanyl Isoglutamine|Acetylmuramyl-Alanyl-Isoglutamine|N-Acetyl-Muramyl-L-Alanyl-D-Glutamic-alpha-Amide|N Acetyl Muramyl L Alanyl D Glutamic alpha Amide|Mur-NAc-L-Ala-D-isoGln|Dipeptide, Muramyl|Mur NAc L Ala D isoGln|Alanyl Isoglutamine, Acetylmuramyl|Isoglutamine, Acetylmuramyl Alanyl",D09.811.522.050|D09.067.550.050|D12.644.233.050
D000889,Acecainide,Acecainide,"N Acetylprocainamide|Acecainide|Acecainide Monohydrochloride|Monohydrochloride, Acecainide|N-Acetylprocainamide|Acetylprocainamide|Acecainide Hydrochloride|Hydrochloride, Acecainide",D02.455.426.559.389.127.085.033|D02.241.223.100.050.500.625|D02.241.223.100.100.033|D02.455.426.559.389.127.020.937.625
D000121,Acetylserotonin O-Methyltransferase,Acetylserotonin O-Methyltransferase,"Oxyindol O Methyltransferase|HIOMT|Methyltransferase, Acetylserotonin|O-Methyltransferase, Hydroxyindole|Oxyindol-O-Methyltransferase|Acetylserotonin Methyltransferase|Acetylserotonin O-Methyltransferase|Hydroxyindole O-Methyltransferase|O-Methyltransferase, Acetylserotonin|Hydroxyindole O Methyltransferase|Acetylserotonin O Methyltransferase",D08.811.913.555.500.100
D000122,Acetylthiocholine,Acetylthiocholine,Acetylthiocholine|(2-Mercaptoethyl)trimethylammonium Acetate,D02.886.489.789.030|D02.675.276.232.800.030|D02.092.877.883.333.800.030
D000123,Acetyltransferases,Acetyltransferases,Acetyltransferase|Acetyltransferases,D08.811.913.050.134
D000135,Acid Phosphatase,Acid Phosphatase,Acid Phosphatase|Acid beta-Glycerophosphatase|Acid beta Glycerophosphatase,D08.811.277.352.650.025
D000154,Aconitate Hydratase,Aconitate Hydratase,"Isocitrate Hydro-Lyase|Citrate Hydrolyase|Aconitase|Citrate Hydro Lyase|Citrate Hydro-Lyase|Hydrolyase, Citrate|Hydro-Lyase, Isocitrate|Aconitate Hydratase|Isocitrate Hydro Lyase|Hydro-Lyase, Citrate|Hydratase, Aconitate",D08.811.520.241.300.050
D000156,Aconitic Acid,Aconitic Acid,Pyrocitric Acid|Citridic Acid|Achilleic Acid|Equisetic Acid|Aconitic Acid|Carboxyglutaconic Acid|Citridinic Acid|Aconitate,D02.241.081.901.177
D061585,Aconitine,Aconitine,"Aconitine|Acetylbenzoyl aconine|Acetylbenzoylaconine|Aconitane-3,8,13,14,15-pentol, 20-ethyl-1,6,16-trimethoxy-4-(methoxymethyl)-, 8-acetate 14-benzoate, (1alpha,3alpha,6alpha,14alpha,15alpha,16beta)-|Acetylbenzoyl-aconine",D03.132.301.030|D02.455.849.291.184.037
D009153,Acridine Orange,Acridine Orange,"Orange Base, Acridine|Acridine Diamine, Tetramethyl|Orange, Acridine|Basic Orange 3RN|Orange, Rhoduline|C.I. Basic Orange 14|Euchrysine|Orange 3RN, Basic|Rhoduline Orange|Acridine Orange Base|Base, Acridine Orange|Diamine, Tetramethyl Acridine|N,N,N',N'-Tetramethyl-3,6-Acridinediamine Hydrochloride|C.I. 46005|Tetramethyl Acridine Diamine|3,6-Bis(dimethylamino)acridine|Acridine Orange",D03.633.300.046.250.150
D000166,Acridines,Acridines,Acridine|Acridines,D03.633.300.046
D007364,Acriflavine,Acriflavine,"Acriflavine|Xanthacridinum|2,8-Diamino-10-Methylacridinium Chloride Mixture With 2,8-Diaminoacridine",D03.633.300.046.250.177
D000972,Acronine,Acronine,Acronycine|Acronine|Acronycin,D03.132.032.077|D03.633.300.046.109.077
D000176,Acrosin,Acrosin,"M beta-Acrosin|Acrosomal proteinase|beta-Acrosin, M|proteinase, Acrosomal|Akrosin|Acrosin|M beta Acrosin",D08.811.277.656.959.350.030|D08.811.277.656.300.760.030
D000179,Acrylates,Acrylates,Acrylates,D02.241.081.069
D000185,Actinin,Actinin,Eu Actinin|alpha Actinin|beta-Actinin|alpha-Actinin|Eu-Actinin|Actinin|beta Actinin,D12.776.220.525.250|D05.750.078.730.248|D12.776.210.500.095
D000186,Actinium,Actinium,Actinium,D01.268.556.025|D01.496.749.305.100.033|D01.552.020.042|D01.552.544.025|D01.268.271.100.033
D000900,Spectinomycin,Spectinomycin,"Spectam|Spectinomycin Dihydrochloride, Pentahydrate|Actinospectacin|Stanilo|Spectam, Ferkel|Trobicin|Spectinomycin Dihydrochloride, Anhydrous|Ferkel Spectam|Adspec|Prospec|Salmosan T|Spectinomycin|Kempi|Salmosan-T|Spectinomycin Hydrochloride",D03.633.300.835|D09.408.051.836|D03.383.188.712
D000199,Actins,Actins,gamma Actin|N-Actin|beta Actin|alpha Actin|gamma-Actin|N Actin|Actin|alpha-Isoactin|alpha-Actin|beta-Actin|G Actin|Isoactin|F Actin|Actins|alpha Isoactin|F-Actin|G-Actin,D12.776.220.525.255|D05.750.078.730.250|D12.776.210.500.100
D000205,Actomyosin,Actomyosin,Actomyosin,D12.776.210.500.154
D000209,Acute-Phase Proteins,Acute-Phase Proteins,"Phase Reactant, Acute|Acute-Phase Reactants|Protein, Acute-Phase|Glycoproteins, Acute-Phase|Acute Phase Proteins|Acute Phase Protein|Acute-Phase Glycoproteins|Acute-Phase Glycoprotein|Acute Phase Glycoproteins|Acute-Phase Protein|Acute Phase Glycoprotein|Reactants, Acute-Phase|Reactant, Acute-Phase|Acute Phase Reactants|Reactants, Acute Phase|Acute-Phase Proteins|Acute-Phase Reactant|Reactant, Acute Phase|Proteins, Acute-Phase|Glycoprotein, Acute-Phase|Acute Phase Reactant|Proteins, Acute Phase",D12.776.124.050
D000998,Acyclovir,Acyclovir,"Acivir|ViraxPuren|Acyclo-V|Aciclovir-Sanorania|Laciken|Virmen|Supraviran|Antiherpes Creme|Cicloferon|Virolex|Isavir|Herpotern|Virherpes|Acycloguanosine|Zyclir|Acifur|Acyclovir Sodium|Aci Sanorania|Wellcome 248U|Aciclovir|Acipen Solutab|Opthavir|9-((2-Hydroxyethoxy)methyl)guanine|aciclovir von ct|Virax Puren|Herpofug|Zovirax|Avirax|Aciclobeta|Aciclovir Alonga|Aci-Sanorania|Acic|Genvir|Acyclovir|Herpetad|Sodium, Acyclovir|Solutab, Acipen|Virzin|Cusiviral|Alonga, Aciclovir|Aciclovir Sanorania|Vipral|Activir|Aciclostad|Zoliparin|Wellcome248U|Viclovir|Herpoviric|Clonorax|Milavir|Maynar|Mapox|Virupos|Acyclo V|Wellcome-248U|Virax-Puren",D03.633.100.759.758.399.454.250
D000213,Acyl Carrier Protein,Acyl Carrier Protein,"Myristoyl ACP|Carrier Protein, Acyl|Acyl Carrier Protein|Protein, Acyl Carrier|Myristoyl-ACP",D12.776.157.050
D000214,Acyl Coenzyme A,Acyl Coenzyme A,"Acyl CoA, Fatty|Acyl Coenzyme A|Long-Chain Acyl CoA|CoA, Long-Chain Acyl|Long Chain Acyl CoA|CoA, Acyl|CoA, Fatty Acyl|Acyl CoA|Acyl CoA, Long-Chain|Coenzyme A, Acyl|Fatty Acyl CoA",D03.633.100.759.646.138.382.300|D08.211.211.300|D13.695.667.138.382.300|D13.695.827.068.382.300
D000216,N-Acylneuraminate Cytidylyltransferase,N-Acylneuraminate Cytidylyltransferase,"CMP Sialate Pyrophosphorylase|Sialate Pyrophosphorylase, CMP|CMP-N-Acetylneuraminic Acid Synthetase|CMP Sialic Acid Synthetase|CMP-Sialic Acid Synthetase|Acylneuraminate Cytidylyltransferase|N-Acylneuraminate Cytidylyltransferase|Cytidylyltransferase, N-Acylneuraminate|Cytidine 5-Monophosphosialate Synthase|Cytidine 5'-Monophosphosialic Acid Synthetase|Synthetase, CMP-N-Acetylneuraminic Acid|Cytidine 5 Monophosphosialate Synthase|Sialate Synthase, CMP|Synthetase, CMP-Sialic Acid|Cytidine 5' Monophosphosialic Acid Synthetase|CMP N Acetylneuraminic Acid Synthetase|Synthase, Cytidine 5-Monophosphosialate|CMP Sialate Synthase|Pyrophosphorylase, CMP Sialate|Synthase, CMP Sialate|Cytidylyltransferase, Acylneuraminate|N Acylneuraminate Cytidylyltransferase",D08.811.913.696.445.035
D000217,Acyltransferases,Acyltransferases,Acyltransferases|Acyltransferase,D08.811.913.050
D000218,Adamantane,Adamantane,Diamantane|Adamantane,D02.455.426.100.050|D02.455.426.392.368.075
D000225,Adenine,Adenine,"4, Vitamin B|B 4, Vitamin|Adenine|Vitamin B 4",D03.633.100.759.138
D000226,"Mitochondrial ADP, ATP Translocases","Mitochondrial ADP, ATP Translocases","ATP Translocase|ADP Translocase|Mitochondrial ADP-ATP Carriers|Adenine Nucleotide Carrier (Mitochondrial)|Mitochondrial ADP, ATP Translocases|ATP,ADP-Carrier|ADP,ATP Translocator Protein|ADP,ATP Carrier|ATP-ADP Translocase|Adenine Nucleotide Translocase|Mitochondrial ADP ATP Carriers|ADP-ATP Carriers, Mitochondrial",D12.776.543.585.450.162.225|D12.776.157.530.937.594|D12.776.543.585.475.500|D12.776.543.585.937.688|D12.776.575.750.500|D12.776.543.585.625.875.500|D12.776.157.530.625.875.500
D000227,Adenine Nucleotides,Adenine Nucleotides,"Adenine Nucleotides|Adenosine Phosphate|Adenine Nucleotide|Phosphate, Adenosine|Nucleotides, Adenine|Nucleotide, Adenine|Phosphates, Adenosine|Adenosine Phosphates",D03.633.100.759.646.138|D13.695.667.138|D13.695.827.068
D000228,Adenine Phosphoribosyltransferase,Adenine Phosphoribosyltransferase,"Pyrophosphorylase, AMP|APRTase|Transphosphoribosidase|Phosphoribosyltransferase, Adenine|Adenine Phosphoribosyltransferase|AMP Pyrophosphorylase",D08.811.913.400.725.100
D058906,Adenosine,Adenosine,Adenosine|Adenoscan|Adenocard,D13.570.583.138|D13.570.800.096|D03.633.100.759.590.138
D011953,Cyclic AMP,Cyclic AMP,"Cyclic AMP, Monopotassium Salt|Cyclic AMP|AMP, Cyclic|Adenosine Cyclic 3',5' Monophosphate|Cyclic 3',5'-Monophosphate, Adenosine|Cyclic AMP, Disodium Salt|Cyclic AMP, Monosodium Salt|Adenosine Cyclic 3',5'-Monophosphate|Cyclic AMP, (R)-Isomer|Cyclic-3',5'-Monophosphate, Adenosine|Adenosine Cyclic-3',5'-Monophosphate|3',5'-Monophosphate, Adenosine Cyclic|Adenosine Cyclic Monophosphate|Cyclic AMP, Sodium Salt|Cyclic AMP, Monoammonium Salt|Monophosphate, Adenosine Cyclic|Cyclic Monophosphate, Adenosine|Adenosine Cyclic 3,5 Monophosphate",D03.633.100.759.646.138.395|D13.695.827.068.395|D13.695.667.138.395|D13.695.462.200
D058892,Adenosine Deaminase,Adenosine Deaminase,"Adenosine Aminohydrolase|Aminohydrolase, Adenosine|Adenosine Deaminase|Deaminase, Adenosine",D08.811.277.151.486.075
D000244,Adenosine Diphosphate,Adenosine Diphosphate,"ADP|Adenosine 5'-Pyrophosphate|Adenosine Pyrophosphate|Magnesium ADP|Adenosine Diphosphate|Diphosphate, Adenosine|5'-Pyrophosphate, Adenosine|Pyrophosphate, Adenosine|ADP, Magnesium|MgADP|Adenosine 5' Pyrophosphate",D13.695.667.138.124|D03.633.100.759.646.138.124|D13.695.827.068.124
D000245,Adenosine Diphosphate Glucose,Adenosine Diphosphate Glucose,"Glucose, ADP|Diphosphate Glucose, Adenosine|ADP Glucose|Adenosine Diphosphate Glucose|Adenosine Pyrophosphateglucose|Adenosine Diphosphoglucose|Diphosphoglucose, Adenosine|Glucose, Adenosine Diphosphate|ADPG|Pyrophosphateglucose, Adenosine",D13.695.667.138.124.070.075|D03.633.100.759.646.138.124.070.075|D13.695.827.708.070.075|D13.695.827.068.124.070.075|D09.408.620.569.070.075
